Treatments,Time,s1,s2,s3,s4,s5,s6
exp_36,5.333333333333333,-0.001527838076926203,0.003228377002136474,0.0013748017308170455,0.0003001428278223675,-0.0024506933191206877,-0.0018645858529728926
exp_36,10.666666666666666,-6.78348650276706e-05,0.0001259485731357217,4.9060625800653026e-05,3.488722273367594e-06,-8.911084979428044e-05,-5.917654383072273e-05
exp_36,16.0,-2.5933570487293776e-06,4.918564218687419e-06,1.5564021437878112e-06,-1.5542409089060325e-08,-3.2999985028570737e-06,-1.5747091494319743e-06
exp_37,0.0,0.0,0.1,0.1,0.0,0.1,0.1
exp_37,5.333333333333333,-0.002260057032919566,0.0013515661434209054,-0.0003121629857950654,-0.0015121143881172507,-0.001358887617140899,0.003128350479568499
exp_37,10.666666666666666,-3.813530310346025e-05,-3.249255618204766e-05,-3.814232959900089e-05,-5.363616258415684e-05,-2.6045564719861634e-06,0.00016164257889335825
exp_37,16.0,8.958920115814518e-07,-3.474568559125952e-06,-2.7275358468375254e-06,-1.2544535934001692e-06,2.4423946722761915e-06,7.195414033476359e-06
exp_38,0.0,0.0,0.1,0.1,0.0,0.1,0.0
exp_38,5.333333333333333,-0.002225184791693736,0.002967621033507732,0.0006347968591162746,-0.0006768141040310071,-0.0020693866242931886,0.0001766197027756309
exp_38,10.666666666666666,-6.627926859492317e-05,7.310319036016679e-05,1.2381526437134057e-05,-2.654667825256402e-05,-5.835636927870999e-05,4.2166790190807124e-05
exp_38,16.0,-1.2764706692700891e-06,1.3635739723438983e-06,-3.480129394980505e-07,-7.524300293363773e-07,-9.506299674185643e-07,2.774385685528655e-06
exp_39,0.0,0.0,0.1,0.1,0.0,0.0,0.1
exp_39,5.333333333333333,-0.0021810708622199116,0.002156619207318354,0.0002867855150294326,-0.0010167537816034296,-0.0019060731389500872,0.0017442848798803927
exp_39,10.666666666666666,-5.230982324521042e-05,2.011452189213922e-05,-1.2908514321524124e-05,-3.9436015724166225e-05,-3.248957443184243e-05,0.00010204800333731592
exp_39,16.0,-5.577775051196791e-07,-1.433681096940727e-06,-1.337397971444917e-06,-1.3308011239785943e-06,4.0500625465667724e-07,4.740721522570854e-06
exp_40,0.0,0.0,0.1,0.1,0.0,0.0,0.0
exp_40,5.333333333333333,-0.0022710559915644817,0.003803263268012418,0.001243577840340932,-0.00017334260951161,-0.0026915358395522056,-0.0011413280684676192
exp_40,10.666666666666666,-7.759734573551625e-05,0.0001228378189329581,3.8125199326580325e-05,-1.1246410462519736e-05,-9.323740820087345e-05,-1.625666536142418e-05
exp_40,16.0,-2.440681878055194e-06,3.783741109805475e-06,8.942291496326122e-07,-4.151352756489923e-07,-2.7460999830577536e-06,4.375528403434695e-07
exp_41,0.0,0.0,0.1,0.0,0.1,0.1,0.1
exp_41,5.333333333333333,-0.0010159938429499952,-0.000355396716163384,-0.0007499814610648422,-0.0012403676638094174,-0.0002418419549934279,0.0033781158930310177
exp_41,10.666666666666666,5.596579720621791e-07,-7.832311682771957e-05,-5.0256645612990445e-05,-4.1152599433868457e-05,3.5063699400008645e-05,0.00014640900201444673
exp_41,16.0,1.3832781065938302e-06,-5.0732830649729755e-06,-2.6211265202251793e-06,-1.3295568413951464e-06,2.944991360985429e-06,5.775289245206876e-06
exp_42,0.0,0.0,0.1,0.0,0.1,0.1,0.0
exp_42,5.333333333333333,-0.0010079278522068928,0.0012815198666564732,0.00021936703226415813,-0.0003919515720422441,-0.0008991476790876746,0.0003495409473431322
exp_42,10.666666666666666,-2.851776597109707e-05,2.5014063099726793e-05,1.1610994991810996e-06,-1.392053710339616e-05,-2.317693206675982e-05,2.935800175585022e-05
exp_42,16.0,-4.848690251983053e-07,1.870020374987581e-07,-3.294302331684516e-07,-4.310223628900042e-07,-2.0154830213544095e-07,1.6189165962780463e-06
exp_43,0.0,0.0,0.1,0.0,0.1,0.0,0.1
exp_43,5.333333333333333,-0.0009552493072098576,0.0004532288181865591,-0.0001439932844505817,-0.0006559162999124134,-0.0008008509540118773,0.002006910410369596
exp_43,10.666666666666666,-1.3802274327621074e-05,-2.7426237289152484e-05,-2.300193365699389e-05,-2.726021505131957e-05,3.951173520418734e-06,8.453008670238498e-05
exp_43,16.0,6.305857531792514e-07,-2.2256393628672925e-06,-1.5252662065072726e-06,-6.652105246401252e-07,1.473379701338354e-06,4.0438154952498045e-06
exp_44,0.0,0.0,0.1,0.0,0.1,0.0,0.0
exp_44,5.333333333333333,-0.0009779136890547605,0.0020995193525082064,0.0008343823380698155,0.00013810861211096444,-0.0014725876897255664,-0.0010081531869408184
exp_44,10.666666666666666,-4.1220169316880525e-05,7.910438463060199e-05,2.6988415463578776e-05,8.154363512541611e-07,-5.450236205556704e-05,-3.094024326969542e-05
exp_44,16.0,-1.2441110130304766e-06,2.9221182794812586e-06,6.592748430955311e-07,2.4750064193439064e-07,-1.5985920247917135e-06,-4.2911308517276145e-07
exp_45,0.0,0.0,0.1,0.0,0.0,0.1,0.1
exp_45,5.333333333333333,-0.001608937584617221,5.2604855542600956e-05,-0.0009454982213770417,-0.0016712745255424203,-0.0004974888905879324,0.004191323204741032
exp_45,10.666666666666666,-1.0483882620703095e-05,-8.933573036984248e-05,-6.056650075349568e-05,-5.5298693407634315e-05,3.404685077235675e-05,0.00018848703114906655
exp_45,16.0,1.5535645634066018e-06,-5.963088477419687e-06,-3.33973689587201e-06,-1.7937861922128943e-06,3.498867310861032e-06,7.894408508575833e-06
exp_46,0.0,0.0,0.1,0.0,0.0,0.1,0.0
exp_46,5.333333333333333,-0.0016446095792264728,0.0017351848880088352,7.540835436307508e-05,-0.0008709131912071475,-0.0011341347620684719,0.001028801961056932
exp_46,10.666666666666666,-3.9320859141857445e-05,1.755444798634699e-05,-8.911047428399736e-06,-2.9254464373149395e-05,-2.5441506156136402e-05,7.277042709186782e-05
exp_46,16.0,-4.632647989183365e-07,-8.800792373656818e-07,-9.598564488403159e-07,-1.0328638308546969e-06,2.469865639864802e-07,3.5539028246823033e-06
exp_47,0.0,0.0,0.1,0.0,0.0,0.0,0.1
exp_47,5.333333333333333,-0.001620050308241491,0.0008870668345725947,-0.00028825121890414633,-0.0011823115901879262,-0.0011012002307085073,0.002767746841659341
exp_47,10.666666666666666,-2.316182768007919e-05,-3.4034811176664596e-05,-3.3052097406160945e-05,-4.136829524900123e-05,3.933833886011936e-06,0.00013503694907369878
exp_47,16.0,5.738876228623237e-07,-3.495681513031664e-06,-2.0298249874279576e-06,-1.2971986933854956e-06,1.9498481572315047e-06,5.838400151405038e-06
mono_exp_48,0.0,0.0,0.1,0.0,0.0,0.0,0.0
mono_exp_48,5.333333333333333,-0.0016655499697776652,0.002476070165400263,0.0006973741116745574,-0.00034406636707474345,-0.0017386723665424836,-0.0002762416943218744
mono_exp_48,10.666666666666666,-5.1603792421281533e-05,7.160879259179216e-05,1.7078166473521198e-05,-1.5077790549100742e-05,-5.378795969983106e-05,1.2213171978814299e-05
