Treatments,Time,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12
mono_exp_9,1.0666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09593108551960877,0.0,0.0,0.0
mono_exp_9,2.1333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09797350602503582,0.0,0.0,0.0
mono_exp_9,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11384786976120505,0.0,0.0,0.0
mono_exp_9,4.266666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09677002239290904,0.0,0.0,0.0
mono_exp_9,5.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09986455043382994,0.0,0.0,0.0
mono_exp_9,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07898525158165431,0.0,0.0,0.0
mono_exp_9,7.466666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09878057863054074,0.0,0.0,0.0
mono_exp_9,8.533333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12165444651337112,0.0,0.0,0.0
mono_exp_9,9.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11352837056309832,0.0,0.0,0.0
mono_exp_9,10.666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1097652890579451,0.0,0.0,0.0
mono_exp_9,11.733333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10226911100589359,0.0,0.0,0.0
mono_exp_9,12.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09736793954768674,0.0,0.0,0.0
mono_exp_9,13.866666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10376134944281029,0.0,0.0,0.0
mono_exp_9,14.933333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10372294114440983,0.0,0.0,0.0
mono_exp_9,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11142875408606182,0.0,0.0,0.0
mono_exp_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0
mono_exp_10,1.0666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0961473221439993,0.0,0.0
mono_exp_10,2.1333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0802178978270251,0.0,0.0
mono_exp_10,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08773741807065874,0.0,0.0
mono_exp_10,4.266666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06752547705609843,0.0,0.0
mono_exp_10,5.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0689285326127413,0.0,0.0
mono_exp_10,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07669089978843634,0.0,0.0
mono_exp_10,7.466666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0537501966775435,0.0,0.0
mono_exp_10,8.533333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06676777642433641,0.0,0.0
mono_exp_10,9.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059423502587178316,0.0,0.0
mono_exp_10,10.666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04705172368093786,0.0,0.0
mono_exp_10,11.733333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05313503148719645,0.0,0.0
mono_exp_10,12.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07235863287294422,0.0,0.0
mono_exp_10,13.866666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04750799729409358,0.0,0.0
mono_exp_10,14.933333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04748292774670529,0.0,0.0
mono_exp_10,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054927737378599864,0.0,0.0
mono_exp_11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
mono_exp_11,1.0666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09667012487103503,0.0
mono_exp_11,2.1333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0955755786958588,0.0
mono_exp_11,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09683462463386172,0.0
mono_exp_11,4.266666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.120429623799498,0.0
mono_exp_11,5.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1099158395445147,0.0
mono_exp_11,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11652216099657615,0.0
mono_exp_11,7.466666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09474708090065624,0.0
mono_exp_11,8.533333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11021275431843677,0.0
mono_exp_11,9.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1360046864707132,0.0
mono_exp_11,10.666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1144302712462221,0.0
mono_exp_11,11.733333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12747705691852576,0.0
mono_exp_11,12.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13159293417604676,0.0
mono_exp_11,13.866666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11467397585927744,0.0
