Well,Experiment,Condition,Treatments,Rep,Time,Inulin,Starch,Pectin,ArGal,Gum,AmAc,pH,BAabs,BPabs,BTabs,BUabs,PCabs,PJabs,ACabs,CGabs,CHabs,FPabs,ERabs,BHabs,RIabs,CSabs,EHabs,OD
31,REU03,31,REU03_31,1,26.37,0.3310287378,0.3344856311,0,0,0.3344856311,0,0,0.000484893987119,0.110627137002456,0.006553199620037,0.003679489666963,0.000342278108555,0.001704259748845,7.84387332104044E-05,0.000313754932842,0.000213923817847,3.56539696411384E-05,8.55695271386571E-05,5.70463514257714E-05,0.000256708581416,0.000370801284268,4.27847635693911E-05,0.125066994707108
32,REU03,32,REU03_32,1,26.37,0.1980629827,0.198293992,0.2074400568,0.1981014842,0.1981014842,1,0,0.013657390657714,0.116751835382453,0.021937081272535,0.014214835174356,0.022592898350937,0.003557807650329,0.000934539336722,0.001032911898483,0.004738278391452,0.00011476798872,0.000295117685281,0.00019674512352,0.000409885674001,0.000327908539201,1.63954269600411E-05,0.201467006484985
33,REU03,33,REU03_33,1,26.37,0,0.5,0,0,0.5,1,0,0.010273836057603,0.117680971886406,0.063237232285588,0.027898778949524,0.000657930387925,0.002644374059161,0.001935833641395,0.001062810626649,0.011488476773772,5.06100298404409E-05,0.000189787611902,2.53050149201E-05,0.000240397641742,0.000215092626822,2.53050149201E-05,0.240967004577637
34,REU03,34,REU03_34,1,26.37,0.3332142506,0,0,0.3335714988,0.3332142506,1,1,0.033079700682158,0.036494379462251,0.114199663451758,0.098513482805702,0.043153003083434,0.01329590549999,0.015942281554563,0.004225664990366,0.030198565461453,0.000341467878009,0.000149392196629,0.000512201817014,8.53669695025478E-05,0.01711607738522,0,0.413666992465973
35,REU03,35,REU03_35,1,26.37,0,0,1,0,0,0,1,0.003210087353398,0.011985865729594,0.14528532043329,0.004491812879395,0.008360083611008,0.005080713796745,0.003337105198317,0.011581718041217,0.002367150746211,9.23766144863356E-05,0.000346412304324,0.000127017844919,0.000161659075351,0.000727465839079,0,0.198067008535385
36,REU03,36,REU03_36,1,26.37,0,0,1,0,0,1,1,0.005241205550995,0.011946434998916,0.282556612106724,0.004772717903979,0.05859023635498,0.006939473271429,0.002488840624774,0.016309226211756,0.003484376874684,8.78414338157661E-05,0.000263524301447,0.009779679631466,2.92804779385206E-05,0.043364387826949,5.85609558768786E-05,0.448166995326996
37,REU03,37,REU03_37,1,26.37,0.333215463,0.333215463,0.333569074,0,0,1,1,0.025711611896307,0.076645807225641,0.081291577626802,0.031504718307472,0.194821416255997,0.004231977086078,0.005699062475919,0.00641379638379,0.010589347108721,0.000376175740985,0.00024451423164,0.000225705444591,7.52351481970807E-05,0.01085267012741,0,0.459367006103516
38,REU03,38,REU03_38,1,26.37,0,0,0.5,0.5,0,0,1,0.000487692727637,0.003553189872785,0.155713320895599,0.049229097335494,0.016261068947218,0.010854646709411,0.011384141670846,0.013627528217977,0.00480725688671,0.000125406701392,0.000153274857257,0.000153274857257,0.00022294524692,0.000696703896625,0,0.270767002384186
39,REU03,39,REU03_39,1,26.37,0,0.3333959975,0.3333020013,0.3333020013,0,1,1,0.010986589816689,0.042824691720027,0.192811775212262,0.067587659867067,0.043486187965534,0.014236549631574,0.01843561275523,0.006902569518339,0.015847149185853,0.000287607063264,0.000143803531632,0.000345128475917,5.75214126527652E-05,0.031751819784358,0,0.448667018692017
40,REU03,40,REU03_40,1,26.37,0,0,0.3343398343,0.3328300829,0.3328300829,0,0,0.002972870477728,0.000615597114336,0.003729699154198,0.0011681251723,0.000479217018078,0.000963285502031,4.09679340539099E-05,0.000228018896116,0.000155246907994,3.39602611236426E-05,5.06708658035237E-05,4.52803481648531E-05,0.00010457604219,0.00022855794788,1.88668117353583E-05,0.011166996340275
41,REU03,41,REU03_41,1,26.37,0.3299972959,0.335001352,0,0,0.335001352,1,1,0.044766014775079,0.050132700756887,0.050525385097019,0.027828230237374,0.14623564826526,0.00287968516097,0.008403444878831,0.003507980105182,0.009136455647078,0.000314147472106,0.000130894780044,0.00020943164807,0.000104715824035,0.013560699212568,2.61789560088183E-05,0.361766993085861
42,REU03,42,REU03_42,1,26.37,0.5,0.5,0,0,0,1,0,0.001722032923946,0.160187543109652,0.020962624252954,0.012429421998539,0.001741273515275,0.001529627010656,8.6582660980629E-05,0.000230887095948,0.004964072562884,6.73420696515544E-05,6.73420696515544E-05,2.88608869936118E-05,9.62029566449597E-05,0.000221266800284,0,0.206566988508224
43,REU03,43,REU03_43,1,26.37,0.5,0,0,0.5,0,0,1,0.001294083502174,0.078059116851173,0.121126215803544,0.126664893192851,0.120893280773152,0.014027865163573,0.043377678992893,0.005952784110003,0.001242320162087,0.00051763340087,0.000362343380609,0.000310580040522,0.000672923421131,0.001656426882784,5.17633400869845E-05,0.536967008392334
44,REU03,44,REU03_44,1,26.37,0,0,0.5,0,0.5,1,0,0.025253438797284,0.004275957775416,0.084197286841195,0.010494487766008,0.062714047372773,0.004356419346459,0.001609231420856,0.011241630925691,0.010299081093476,0.000172417652235,0.000287362753724,0.000160923142086,0.00011494510149,0.000528747466853,5.74725507449212E-05,0.219866990129471
45,REU03,45,REU03_45,1,26.37,1,0,0,0,0,1,1,0.003632228204113,0.063755163477463,0.031670481007795,0.168229516822091,0.188493526802934,0.003377334996807,0.013955403100014,0.005703235513476,0.02558490568336,0.000573509716439,0.000541648065526,0.001019572829225,0.00028675485822,0.007837966124666,0,0.518866985122681
46,REU03,46,REU03_46,1,26.37,0,1,0,0,0,1,1,0.013929969806815,0.133581227146443,0.044071663827628,0.026578213372558,0.000422547112441,0.002450773252159,0.000591565957418,0.000239443363717,0.001662018642269,0.000126764133732,0.000154933941228,9.85943262363584E-05,0.000281698074961,0.002084565754711,1.40849037480434E-05,0.22876700667572
47,REU03,47,REU03_47,1,26.37,0.3332809229,0.3332809229,0.3334381541,0,0,0,0,0.000434469581855,0.210141822405247,0.003425236936022,0.0020814124154,0.000343534087979,0.001869229596354,0.000111143381405,0.000141455212697,0.00027280648163,7.07276063484319E-05,0.000121247325169,6.06236625843702E-05,0.000131351268933,0.000464781413148,0.000121247325169,0.220367013494492
