Well,Experiment,Condition,Treatments,Rep,Inulin,Starch,Pectin,ArGal,Gum,AmAc,pH,Time,OD?,OD
12,REU04,ER,REU04_ER,2,0,1,0,0,0,1,1,0,0.01,0
12,REU04,ER,REU04_ER,2,0,1,0,0,0,1,1,2.000277778,-0.000551474,-0.010551474
12,REU04,ER,REU04_ER,2,0,1,0,0,0,1,1,4.000277778,0.003739167,-0.006260833
12,REU04,ER,REU04_ER,2,0,1,0,0,0,1,1,6.000833333,0.003870513,-0.006129487
12,REU04,ER,REU04_ER,2,0,1,0,0,0,1,1,8.001111111,0.000718205,-0.009281795
12,REU04,ER,REU04_ER,2,0,1,0,0,0,1,1,10.00166667,0.00465859,-0.00534141
12,REU04,ER,REU04_ER,2,0,1,0,0,0,1,1,12.00222222,0.007460641,-0.002539359
12,REU04,ER,REU04_ER,2,0,1,0,0,0,1,1,14.00277778,0.007854679,-0.002145321
12,REU04,ER,REU04_ER,2,0,1,0,0,0,1,1,16.00277778,0.008380064,-0.001619936
12,REU04,ER,REU04_ER,2,0,1,0,0,0,1,1,18.00388889,0.006409872,-0.003590128
12,REU04,ER,REU04_ER,2,0,1,0,0,0,1,1,20.00361111,0.005928269,-0.004071731
12,REU04,ER,REU04_ER,2,0,1,0,0,0,1,1,22.00444444,0.004352115,-0.005647885
12,REU04,ER,REU04_ER,2,0,1,0,0,0,1,1,24.00444444,0.00317,-0.00683
13,REU04,FP,REU04_FP,2,0,1,0,0,0,1,1,0,0.01,0
13,REU04,FP,REU04_FP,2,0,1,0,0,0,1,1,2.000277778,0.01131433,0.00131433
13,REU04,FP,REU04_FP,2,0,1,0,0,0,1,1,4.000277778,0.010945047,0.000945047
13,REU04,FP,REU04_FP,2,0,1,0,0,0,1,1,6.000833333,0.011036375,0.001036375
13,REU04,FP,REU04_FP,2,0,1,0,0,0,1,1,8.001111111,0.011890094,0.001890094
13,REU04,FP,REU04_FP,2,0,1,0,0,0,1,1,10.00166667,0.011032404,0.001032404
13,REU04,FP,REU04_FP,2,0,1,0,0,0,1,1,12.00222222,0.010869602,0.000869602
13,REU04,FP,REU04_FP,2,0,1,0,0,0,1,1,14.00277778,0.010817982,0.000817982
13,REU04,FP,REU04_FP,2,0,1,0,0,0,1,1,16.00277778,0.010714742,0.000714742
13,REU04,FP,REU04_FP,2,0,1,0,0,0,1,1,18.00388889,0.011175353,0.001175353
13,REU04,FP,REU04_FP,2,0,1,0,0,0,1,1,20.00361111,0.01126271,0.00126271
13,REU04,FP,REU04_FP,2,0,1,0,0,0,1,1,22.00444444,0.011437425,0.001437425
13,REU04,FP,REU04_FP,2,0,1,0,0,0,1,1,24.00444444,0.011767,0.001767
14,REU04,BH-BP,REU04_BH-BP,2,0,1,0,0,0,1,1,0,0.01,0
14,REU04,BH-BP,REU04_BH-BP,2,0,1,0,0,0,1,1,2.000277778,0.012444955,0.002444955
14,REU04,BH-BP,REU04_BH-BP,2,0,1,0,0,0,1,1,4.000277778,0.01139207,0.00139207
14,REU04,BH-BP,REU04_BH-BP,2,0,1,0,0,0,1,1,6.000833333,0.011462733,0.001462733
14,REU04,BH-BP,REU04_BH-BP,2,0,1,0,0,0,1,1,8.001111111,0.014494194,0.004494194
14,REU04,BH-BP,REU04_BH-BP,2,0,1,0,0,0,1,1,10.00166667,0.011328472,0.001328472
14,REU04,BH-BP,REU04_BH-BP,2,0,1,0,0,0,1,1,12.00222222,0.011194212,0.001194212
14,REU04,BH-BP,REU04_BH-BP,2,0,1,0,0,0,1,1,14.00277778,0.011067018,0.001067018
14,REU04,BH-BP,REU04_BH-BP,2,0,1,0,0,0,1,1,16.00277778,0.01079143,0.00079143
14,REU04,BH-BP,REU04_BH-BP,2,0,1,0,0,0,1,1,18.00388889,0.012671078,0.002671078
14,REU04,BH-BP,REU04_BH-BP,2,0,1,0,0,0,1,1,20.00361111,0.013003196,0.003003196
14,REU04,BH-BP,REU04_BH-BP,2,0,1,0,0,0,1,1,22.00444444,0.013540238,0.003540238
14,REU04,BH-BP,REU04_BH-BP,2,0,1,0,0,0,1,1,24.00444444,0.014367,0.004367
15,REU04,BH-BT,REU04_BH-BT,2,0,1,0,0,0,1,1,0,0.01,0
15,REU04,BH-BT,REU04_BH-BT,2,0,1,0,0,0,1,1,2.000277778,0.017365,0.007365
15,REU04,BH-BT,REU04_BH-BT,2,0,1,0,0,0,1,1,4.000277778,0.01463504,0.00463504
15,REU04,BH-BT,REU04_BH-BT,2,0,1,0,0,0,1,1,6.000833333,0.0151064,0.0051064
15,REU04,BH-BT,REU04_BH-BT,2,0,1,0,0,0,1,1,8.001111111,0.02445504,0.01445504
15,REU04,BH-BT,REU04_BH-BT,2,0,1,0,0,0,1,1,10.00166667,0.01453684,0.00453684
15,REU04,BH-BT,REU04_BH-BT,2,0,1,0,0,0,1,1,12.00222222,0.01430116,0.00430116
15,REU04,BH-BT,REU04_BH-BT,2,0,1,0,0,0,1,1,14.00277778,0.0140262,0.0040262
