Well,Experiment,Condition,Treatments,Rep,pH,Time,OD,Inulin,Starch,Pectin,ArGal,Gum,AmAc,BHabs,BPabs,BTabs,ERabs,FPabs,BAabs,BUabs,PCabs,PJabs,ACabs,CGabs,CHabs,RIabs,CSabs,EHabs
84,REU04,BH-BP-ER-FP,REU04_BH-BP-ER-FP,2,1,0,0.008,0,1,0,0,0,1,0.002,0.002,0,0.002,0.002,0,0,0,0,0,0,0,0,0,0
85,REU04,BH-BT-ER-FP,REU04_BH-BT-ER-FP,2,1,0,0.008,0,1,0,0,0,1,0.002,0,0.002,0.002,0.002,0,0,0,0,0,0,0,0,0,0
86,REU04,BP-BT-ER-FP,REU04_BP-BT-ER-FP,2,1,0,0.008,0,1,0,0,0,1,0,0.002,0.002,0.002,0.002,0,0,0,0,0,0,0,0,0,0
87,REU04,BH-BP-BT-ER-FP,REU04_BH-BP-BT-ER-FP,2,1,0,0.01,0,1,0,0,0,1,0.002,0.002,0.002,0.002,0.002,0,0,0,0,0,0,0,0,0,0
89,REU04,BT-ER-FP,REU04_BT-ER-FP,3,1,0,0.006,0,1,0,0,0,1,0,0,0.002,0.002,0.002,0,0,0,0,0,0,0,0,0,0
90,REU04,BH-BP-BT-ER,REU04_BH-BP-BT-ER,3,1,0,0.008,0,1,0,0,0,1,0.002,0.002,0.002,0.002,0,0,0,0,0,0,0,0,0,0,0
91,REU04,BH-BP-BT-FP,REU04_BH-BP-BT-FP,3,1,0,0.008,0,1,0,0,0,1,0.002,0.002,0.002,0,0.002,0,0,0,0,0,0,0,0,0,0
92,REU04,BH-BP-ER-FP,REU04_BH-BP-ER-FP,3,1,0,0.008,0,1,0,0,0,1,0.002,0.002,0,0.002,0.002,0,0,0,0,0,0,0,0,0,0
93,REU04,BH-BT-ER-FP,REU04_BH-BT-ER-FP,3,1,0,0.008,0,1,0,0,0,1,0.002,0,0.002,0.002,0.002,0,0,0,0,0,0,0,0,0,0
94,REU04,BP-BT-ER-FP,REU04_BP-BT-ER-FP,3,1,0,0.008,0,1,0,0,0,1,0,0.002,0.002,0.002,0.002,0,0,0,0,0,0,0,0,0,0
95,REU04,BH-BP-BT-ER-FP,REU04_BH-BP-BT-ER-FP,3,1,0,0.01,0,1,0,0,0,1,0.002,0.002,0.002,0.002,0.002,0,0,0,0,0,0,0,0,0,0
